enkelvoud			singular
meervoud    			plural	
meervoudsvormen		plurals	
meerdere			several
werkwoord			verb
onregelmatige werkwoorden	irregular verbs
regulier, regelmatig		regular, regularly
geheel regelmatig		entirely regular
bijwoord			adverb	
bijvoeglijk naamwoord		adjective
zelfstandig naamwoord		noun
voornaamwoord		pronoun
uitspreken			to pronounce
voegwoord			conjunction	
voltooid deelwoord		past participle
rok, hemd, jas, jurk, pak	skirt, shirt, coat, dress, suit
grijs, bruin, wit, geel, paars	gray, brown, white, yellow, purple
kleur, kleurrijk			color, colorful
broek				pants
vraag, antwoord		question, answer
seizoen				season
leeftijd				age
week				week
maand				month
klein beetje			little bit
stukje, beetje			bit
stuk, stukje			piece
meerderjarig			of age
volwassene			adult
bejaard				elderly
tante, tantes, oom		aunt, aunts, uncle
mier				ant
broer en zus			sibling
broers en zussen		siblings
tweeling			twin
personeel			staff
beroep				profession
ober, serveerster		waiter, waitress
ingenieur			engineer
architect			architect
bewaker			guard
gids				guide
kok				cook
artiest, kunstenaar		artist
student				student
directeur, regisseur		director
richting				direction
secretaris, secretaresse	secretary
op het werk			at work
olie				oil
ontbijt				breakfast
handig				convenient, useful (op verschillende manieren te gebruiken)
onhandig			clumsy
nuttig				useful 
nutteloos			useless
tevergeefs, nutteloos		in vain
avontuur			adventure
avonturier			adventurer
comité				committee
individu				individual
iemand				someone, somebody, anyone, anybody 
iedereen			everyone, everybody, anyone, anybody 
elk, ieder			any, each, every
iemand anders			someone else
anders,andere,verschillend(e)	different
verschil				difference
verschillende, verscheidende	various
anders				otherwise
niemand			no one, nobody 
iets				something 
elk iets				anything
alles				everything, anything
niets				nothing
samen				together
ergens				somewhere
overal				everywhere, anywhere
nergens			nowhere
hele, gehele			whole (enkel object), entire (geheel zoals gehele boek/wagenpark)
alleen				alone (fysiek)
eenzaam			lonely (emotioneel), lonesome
dit				this
deze				these
dat				that
die				those	
wat				what
alleen maar			just, only, merely
er is alleen maar tijd om	there is just time to, there is only time to
ze was nog maar een baby	she was just a baby, she was only a baby
ik heb maar één broer		I have just one brother, I have only one brother
net				just
net ten noorden van		just north of
net als				just like
hij is net vertrokken		he has just left
enige, alleen			only
jij bent de enige		you are the only one
ik houd alleen van jou		I love only you
nog steeds			still
ander, andere			other
elk ander			any other
elkaar				each other 
een andere, nog een		another
alle anderen			everybody else
zulke, zulk, zo’n		such, such a
zoiets				such a thing
echter, maar, toch		however
in ieder geval, sowieso		in any case, anyway
trouwens			by the way
hoe dan ook			anyhow	
wat dan ook			whatever
waar dan ook, overal waar	wherever
tenminste			at least
minst				least
beschikbaar			available
niet beschikbaar		unavailable
efficiënt			efficient, efficiently
negatief			negative
professionele acteur		professional actor		
officieel diner			official dinner
officiële kleuren		official colors
persoonlijk			personal
speciaal			special
verantwoordelijk		responsible
verantwoordelijkheid		responsibility	
erg, ernstig			serious (BN), seriously (BW)
historisch			historical
culturele weken		cultural weeks
traditionele familie		traditional family
